2024-05-13 17:53:48,602, Logistic Regression, Replication: 0, Accuracy: 0.9720, F1: 0.9735, ROC AUC: 0.9968, Params: {'C': 1, 'max_iter': 10000}, balanced: 0.9716176470588236
2024-05-13 17:53:48,920, Decision Tree, Replication: 0, Accuracy: 0.9476, F1: 0.9485, ROC AUC: 0.9687, Params: {'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9476027397260274
2024-05-13 17:53:49,032, Logistic Regression, Replication: 1, Accuracy: 0.9825, F1: 0.9835, ROC AUC: 0.9953, Params: {'C': 1, 'max_iter': 10000}, balanced: 0.9819607843137255
2024-05-13 17:53:49,255, Decision Tree, Replication: 1, Accuracy: 0.9406, F1: 0.9358, ROC AUC: 0.9575, Params: {'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9396602513747054
2024-05-13 17:53:49,347, Logistic Regression, Replication: 2, Accuracy: 0.9720, F1: 0.9730, ROC AUC: 0.9895, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.9722725714005781
2024-05-13 17:53:49,498, Decision Tree, Replication: 2, Accuracy: 0.9371, F1: 0.9362, ROC AUC: 0.9466, Params: {'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.937206572769953
2024-05-13 17:53:49,607, Logistic Regression, Replication: 3, Accuracy: 0.9790, F1: 0.9814, ROC AUC: 0.9950, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.9778769841269841
2024-05-13 17:53:49,805, Decision Tree, Replication: 3, Accuracy: 0.9301, F1: 0.9363, ROC AUC: 0.9372, Params: {'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9288461538461539
2024-05-13 17:53:49,918, Logistic Regression, Replication: 4, Accuracy: 0.9825, F1: 0.9821, ROC AUC: 0.9967, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.9824363992172211
2024-05-13 17:53:50,115, Decision Tree, Replication: 4, Accuracy: 0.9476, F1: 0.9442, ROC AUC: 0.9710, Params: {'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9469117647058823
2024-05-13 17:53:50,211, Logistic Regression, Replication: 5, Accuracy: 0.9615, F1: 0.9609, ROC AUC: 0.9920, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.961801986981843
2024-05-13 17:53:50,353, Decision Tree, Replication: 5, Accuracy: 0.9161, F1: 0.9155, ROC AUC: 0.9395, Params: {'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9160798122065728
2024-05-13 17:53:50,441, Logistic Regression, Replication: 6, Accuracy: 0.9720, F1: 0.9737, ROC AUC: 0.9950, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.9715477066470444
2024-05-13 17:53:50,598, Decision Tree, Replication: 6, Accuracy: 0.9231, F1: 0.9214, ROC AUC: 0.9453, Params: {'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9243870209954486
2024-05-13 17:53:50,734, Logistic Regression, Replication: 7, Accuracy: 0.9860, F1: 0.9853, ROC AUC: 0.9962, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.9856953901925244
2024-05-13 17:53:50,914, Decision Tree, Replication: 7, Accuracy: 0.9266, F1: 0.9231, ROC AUC: 0.9261, Params: {'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9261163337250293
2024-05-13 17:53:51,028, Logistic Regression, Replication: 8, Accuracy: 0.9755, F1: 0.9725, ROC AUC: 0.9974, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.974881329113924
2024-05-13 17:53:51,211, Decision Tree, Replication: 8, Accuracy: 0.9231, F1: 0.9247, ROC AUC: 0.9349, Params: {'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.922975352112676
2024-05-13 17:53:51,303, Logistic Regression, Replication: 9, Accuracy: 0.9860, F1: 0.9860, ROC AUC: 0.9952, Params: {'C': 10, 'max_iter': 10000}, balanced: 0.986013986013986
2024-05-13 17:53:51,454, Decision Tree, Replication: 9, Accuracy: 0.9266, F1: 0.9242, ROC AUC: 0.9421, Params: {'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 3}, balanced: 0.9263986697965572
